MUSCULO,EJERCICIO,LINK
CUADRICEPS,LEG EXTENSION EN MÁQUINA DE POLEA,EJEMPLO
PECTORAL,FLEXIONES,EJEMPLO
PECTORAL,PRESS INCLINADO CON BARRA,EJEMPLO
DORSAL,PULL DOWN CON AGARRE NEUTRO,EJEMPLO
PECTORAL,FLEXIÓN DE HOMBRO EN BANCO INCLINADO,EJEMPLO
PECTORAL,PRESS INCLINADO EN MÁQUINA,EJEMPLO
PECTORAL,PECK FLY,EJEMPLO
DELTOIDES,ELEVACIONES LATERALES EN POLEA,EJEMPLO
TRÍCEPS,EXTENSIÓN DE TRÍCEPS EN POLEA,EJEMPLO
DORSAL,REMO EN POLEA BAJA,EJEMPLO
BÍCEPS,CURL DE BÍCEPS EN BANCO INCLINADO,EJEMPLO
DELTOIDES,POSTERIOR EN POLEA,EJEMPLO
BÍCEPS,CURL MARTILLO BILATERAL,EJEMPLO
ADUCTORES,ADUCTORES EN MÁQUINA,EJEMPLO
CUADRICEPS,SENTADILLA EN MULTIPOWER (DOMINANTE DE RODILLA),EJEMPLO
ISQUIOSURAL,CURL FEMORAL,EJEMPLO
GLÚTEOS,HIP THRUST EN MÁQUINA,EJEMPLO
CUADRICEPS,LEG EXTENSION,EJEMPLO
GEMELOS,ELEVACIONES DE TALÓN DE PIE EN MÁQUINA,EJEMPLO
DORSAL,BARRA T CON AGARRE ABIERTO,EJEMPLO
DELTOIDES,PRESS MILITAR EN MÁQUINA,EJEMPLO
DELTOIDES,ELEVACIONES LATERALES CON MANCUERNAS,EJEMPLO
TRÍCEPS,PRESS FRANCÉS CON MANCUERNAS,EJEMPLO
PECTORAL,FLEXIONES CON PIES ELEVADOS,EJEMPLO
GLÚTEOS,HIP THRUST CON BARRA,EJEMPLO
CUADRICEPS,HACK SQUAT,EJEMPLO
BÍCEPS,BANCO SCOTT / CURL PREDICADOR,EJEMPLO
BÍCEPS,CURL DE BÍCEPS CON BARRA Z,EJEMPLO
BÍCEPS,CURL PREDICADOR EN MÁQUINA,EJEMPLO
DELTOIDES,POSTERIOR EN MÁQUINA,EJEMPLO
CUADRICEPS,PRENSA PENDULAR,EJEMPLO
DORSAL,PULL DOWN DIVERGENTE,EJEMPLO
GLÚTEOS,SENTADILLA BÚLGARA CON CARGA IPSILATERAL,EJEMPLO
GLÚTEOS,SENTADILLA BÚLGARA CON CARGA CONTRALATERAL,EJEMPLO
