,,,,,,,
,,,,,,,
,,,,,,,
,COMIDA,TIPO,CARBOHIDRATO,GRASAS,PROTEINAS,CALORIAS,RACION
,Aceite de Maiz Comestible (Mazeite),Grasas,0,14,0,130,14
,Aceite Vegetal (Vatel),Grasas,0,14,0,130,14
,Aguacate,Fruta/Vegetal,9,15,9,207,100
,Albóndigas,Proteina,2,9,14,145,100
,Almendras,Fruta/Vegetal,22,49,21,613,100
,Anchoas,Proteina,0,11,28,211,100
,Arequipe (Dulcito),Dulce/Golosina/Chucheria,58,0,9,270,100
,Arroz Blanco Clásico (Primor) (Crudo),Carbohidratos,56,0,5,250,57
,Arroz Dorado (Mary) (Crudo),Carbohidratos,"35,4","0,25","3,27",160,170
,Arroz Esmeralda (Mary) (Crudo),Carbohidratos,48,"0,18","3,9",225,170
,Arroz Integral (Mary) (Crudo),Carbohidratos,"44,5","0,22","3,61",178,170
,Arroz Premium (Mary) (Crudo),Carbohidratos,"42,19","0,23","4,12",190,170
,Arroz Superior (Mary) (Crudo),Carbohidratos,"41,51","0,14","3,93",180,170
,Arvejas (Mary) (Crudo),Carbohidratos,58,"1,5",25,360,100
,Atún al Natural (Margarita),Proteina,0,"0,5",15,120,56
,Atún en Aceite Vegetal (Margarita),Proteina,0,6,14,120,56
,Atún Lomitos en Aceite Vegetal (M1),Proteina,0,2,16,80,"57,5"
,Auyama,Carbohidratos,"6,5","0,1",1,31,100
,Avena en Hojuelas (Avelina) (Crudo),Carbohidratos,27,3,5,150,40
,Avena en Hojuelas (Quaker) (Crudo),Carbohidratos,"8,8","0,5","3,8",55,100
,Avena en Hojuelas Instantánea (Avelina) (Crudo),Carbohidratos,29,2,4,150,40
,Azúcar Blanco (Konfit),Carbohidratos,4,0,0,16,4
,Azúcar Refinado (La Pastora),Carbohidratos,4,0,0,15,4
,Azúcar Refinado (Montalban),Carbohidratos,4,0,0,16,4
,Azucaradas (Maizoritos),Carbohidratos,27,0,1,120,30
,Batata,Carbohidratos,"24,19","0,6","1,61",109,100
,Berenjena,Vegetal,"5,5","0,2",1,28,100
,Brócoli,Vegetal,6,"0,3",2,35,100
,Cachapas (P.A.N),Carbohidratos,40,"0,5",4,180,50
,Café (La Protectora),Carbohidratos,63,15,15,450,100
,Calabacín,Carbohidratos,3,"0,3","1,2",20,100
,Caraota Roja (Pantera) (Crudo),Carbohidratos,60,1,24,330,100
,Caraotas Negras (Mary) (Crudo),Carbohidratos,57,2,24,340,100
,Caraotas Rojas (Gloria) (Crudo),Carbohidratos,"60,4",2,"20,9",251,100
,Carne,Proteina,0,"19,29","26,41",279,100
,Cebolla,Carbohidratos,9,"0,1","1,1",41,100
,Cerdo,Proteina,0,"5,41","20,54",131,100
,Cerelac (Nestlea),Carbohidratos,21,"1,5",2,100,25
,Cerveza Zulia (Unidad),Bebida Alcohólica,20,0,0,80,1
,Cerveza Zulia Lata (Unidad),Bebida Alcohólica,"2,88",0,"0,4",45,1
,Champiñones,Vegetal,3,"0,1","2,6",23,100
,Cheestris,Dulce/Golosina/Chucheria,36,13,4,270,54
,Cheetos (Frito Lay),Dulce/Golosina/Chucheria,17,9,2,150,28
,Cheetos Boliquesitos (Frito Lay),Dulce/Golosina/Chucheria,16,5,1,120,25
,Chips Ahoy (Unidad),Dulce/Golosina/Chucheria,"8,5","3,5","0,5",65,1
,Chorizo Ahumado Untable (La Montserratina),Grasas,2,15,6,160,50
,Chupeta (Bon Bon Bum) (Unidad),Dulce/Golosina/Chucheria,18,0,0,72,1
,Club Social (Integral) (Unidad),Carbohidratos,5,"1,5","0,6",13,1
,Coca-Cola (Original),Bebidas,19,0,0,70,250
,Cocosette (Unidad),Dulce/Golosina/Chucheria,14,7,1,130,1
,Coliflor,Vegetal,5,"0,3","1,9",30,100
,Corn Flakes (Kellogg's),Carbohidratos,87,8,8,380,100
,Crema de Leche (Royale),Grasas,"3,8",24,"2,2",232,155
,Cronch Flakes (Maizoritos),Carbohidratos,26,0,2,120,30
,Dalvito Cheddar,Grasas,2,6,4,80,30
,De Todito Resuelto (Frito Lay),Dulce/Golosina/Chucheria,30,10,3,220,45
,De Todito Sabor a Queso (Frito Lay),Dulce/Golosina/Chucheria,24,8,2,170,25
,Diablitos (Underwood),Grasas,5,25,14,300,100
,Doritos Mega Queso (Frito Lay),Dulce/Golosina/Chucheria,15,4,2,100,22
,Dulce de Leche (Arequipe 3P),Dulce/Golosina/Chucheria,79,5,6,390,100
,Espárragos,Carbohidratos,"3,6","0,4","2,9",30,100
,Espinaca,Vegetal,"3,6","0,4","2,9",30,100
,Flips (Choco Maní),Carbohidratos,20,5,3,130,30
,Flips (Dulce de Leche),Dulce/Golosina/Chucheria,23,4,2,140,30
,Froot Loops (Kellogg's),Carbohidratos,88,"3,5",5,400,100
,Fruty Aros (Maizoritos),Carbohidratos,26,1,2,110,30
,Galleta Marilu (Chocolate) (Unidad),Dulce/Golosina/Chucheria,25,7,2,170,36
,Galletas de Soda (Puig) (Unidad),Carbohidratos,6,"0,6","0,6",33,1
,Galletas de Soda Integral (Puig) (Unidad),Carbohidratos,7,1,1,40,1
,Galletas Independencia (Maria) (Unidad),Carbohidratos,81,7,7,410,100
,Galletas Integrales (Renata) (Unidad),Dulce/Golosina/Chucheria,20,"5,3","2,2",136,30
,Galletas Maria (Puig) (Unidad),Dulce/Golosina/Chucheria,7,1,"0,6",40,1
,Galletas Tip Top (Caledonia) (Unidad),Dulce/Golosina/Chucheria,"5,3","1,6","0,6",40,1
,Galletas Tip Top (Limón) (Unidad),Dulce/Golosina/Chucheria,6,"1,3","0,3",37,1
,Gatorade (Unidad),Carbohidratos,"11,8",0,0,48,1
,Gelatina Sabor a Cereza (Sonrissa),Carbohidratos,"11,1",0,"1,3",40,100
